fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Shi Ming,1994-11-14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,female,women's strawweight,16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,1,1,11,2553,2707,2596,2024-11-23,W - Feng Xiaocan,2025-08-23,L - Bruna Brasil,NA,NA
Jeisla Chaves,1997-02-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's flyweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,11,2553,2553,2554,2026-06-06,W - Yuneisy Duben,2026-06-06,W - Yuneisy Duben,2026-08-22,Carli Judice
Tai Tuivasa,1993-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Samoa",male,heavyweight,16,NA,16,NA,3,16,18,8,7 KO 0 Sub 1 Dec,10,3 KO 3 Sub 4 Dec,-7,5,5,4,2552,3130,2850,2017-11-18,W - Rashad Coulter,2026-05-02,L - Louie Sutherland,NA,NA
Loma Lookboonmee,1996-01-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Thailand,female,women's strawweight,16,NA,16,NA,14,16,11,7,0 KO 1 Sub 6 Dec,4,0 KO 1 Sub 3 Dec,-2,4,0,10,2551,2765,2528,2019-10-26,W - Aleksandra Albu,2026-05-30,L - Jaqueline Amorim,NA,NA
Jeremy Stephens,1986-05-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, featherweight",16,NA,16,NA,4,16,36,15,8 KO 0 Sub 7 Dec,20,3 KO 4 Sub 13 Dec,-5,3,10,4.5,2550,3134,2822,2007-05-26,L - Din Thomas,2026-05-09,L - King Green,NA,NA
Chelsea Chandler,1990-11-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,"women's bantamweight, women's featherweight",16,NA,16,NA,13,16,6,3,1 KO 1 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,1,1,1,8.5,2550,2734,2584,2022-10-01,W - Julija Stoliarenko,2026-06-06,W - Priscila Cachoeira,NA,NA
Luis Gurule,1993-11-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, flyweight",16,NA,16,NA,16,16,5,1,0 KO 0 Sub 1 Dec,4,1 KO 1 Sub 2 Dec,-1,1,0,9.2,2548,2599,2644,2025-04-05,L - Ode Osbourne,2026-05-30,L - Rei Tsuruya,NA,NA
Victor Martinez,1991-07-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,6.5,2546,2671,2642,2023-02-25,L - Jordan Leavitt,2024-05-18,L - Tom Nolan,NA,NA
Daniel Frunza,1994-04-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Romania,male,welterweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,0,6.5,2544,2632,2686,2025-04-05,L - Rhys McKee,2025-11-01,L - Charles Radtke,NA,NA
Brendson Ribeiro,1996-09-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,16,NA,16,NA,16,16,7,2,0 KO 1 Sub 1 Dec,5,3 KO 1 Sub 1 Dec,-3,2,0,6.3,2544,2696,2738,2024-02-17,L - Zhang Mingyang,2026-04-04,L - Abdul Rakhman Yakhyaev,2026-07-25,Magomed Tuchalov
Wellington Turman,1996-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,NA,16,NA,16,16,9,3,0 KO 1 Sub 2 Dec,6,2 KO 1 Sub 3 Dec,-3,2,1,6.7,2540,2780,2757,2019-07-13,L - Karl Roberson,2023-12-02,L - Jared Gooden,2026-07-25,Islam Dulatov
Nicolle Caliari,1996-11-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,"women's strawweight, women's flyweight",16,NA,16,NA,16,16,3,1,0 KO 1 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,1,1,0,12.7,2538,2538,2435,2025-01-11,L - Ernesta Kareckaite,2026-05-16,W - Shauna Bannon,NA,NA
Clayton Carpenter,1996-06-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,NA,16,NA,16,16,5,2,0 KO 2 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,-3,2,1,11.2,2535,2810,2705,2023-02-18,W - Juancamilo Ronderos,2026-05-09,L - Jose Ochoa,NA,NA
Treston Vines,1996-06-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,6,2535,2535,2701,2025-10-04,L - Ateba Gautier,2025-10-04,L - Ateba Gautier,NA,NA
